B (T) - H (A/m),,,MATERIAL: M19: USS Transformer 72 -- 29 Gage,,,,,,,,,,
Pid = 1,,,,,,,,,,,,,
Z = 0,,,,,,,,,,,,,
X = 0,,,,,,,,,,,,,
Y = 0,,,,,,,,,,,,,
    ,t,Hx,Bx,Hy,By,Hz,Bz,,,,,,
1,0,0,0,0,0,0,3.234392e-317,,,,,0,0
2,1.00E-01,1.61E-02,7.46E-05,4.93E-18,-4.96E-18,0,3.231985e-315,,,,,1.61E-02,7.46E-05
3,0.2,7.09E-02,3.29E-04,1.07E-14,6.05E-16,0,3.231985e-315,,,,,7.09E-02,3.29E-04
4,0.3,0.125582,5.84E-04,-6.32E-12,-1.90E-14,0,3.231985e-315,,,,,0.125582,5.84E-04
5,0.4,0.180231,8.38E-04,-7.49E-13,7.61E-15,0,3.231985e-315,,,,,0.180231,8.38E-04
6,0.5,0.234808,1.09E-03,7.01E-13,1.31E-14,0,3.231985e-315,,,,,0.234808,1.09E-03
7,0.6,0.289311,1.35E-03,-3.67E-13,4.98E-15,0,3.231985e-315,,,,,0.289311,1.35E-03
8,0.7,0.343741,1.60E-03,-4.98E-13,1.58E-15,0,3.231985e-315,,,,,0.343741,1.60E-03
9,0.8,0.398099,1.86E-03,8.10E-15,-1.60E-15,0,3.231985e-315,,,,,0.398099,1.86E-03
10,0.9,0.452384,2.11E-03,-7.82E-13,-3.77E-15,0,3.231985e-315,,,,,0.452384,2.11E-03
11,1,0.506597,2.37E-03,-8.72E-13,-4.63E-15,0,3.231985e-315,,,,,0.506597,2.37E-03
12,1.1,0.58932,2.75E-03,-7.89E-13,-2.98E-15,0,3.231985e-315,,,,,0.58932,2.75E-03
13,1.2,0.740654,3.47E-03,8.21E-14,-5.29E-16,0,3.231985e-315,,,,,0.740654,3.47E-03
14,1.3,0.891427,4.18E-03,-6.39E-13,-4.33E-15,0,3.231985e-315,,,,,0.891427,4.18E-03
15,1.4,1.041643,4.90E-03,-8.91E-13,-6.24E-15,0,3.231985e-315,,,,,1.041643,4.90E-03
16,1.5,1.191305,5.61E-03,-3.67E-13,-8.80E-15,0,3.231985e-315,,,,,1.191305,5.61E-03
17,1.6,1.340418,6.32E-03,-1.29E-12,-1.92E-14,0,3.231985e-315,,,,,1.340418,6.32E-03
18,1.7,1.488984,7.04E-03,-2.29E-12,-2.72E-14,0,3.231985e-315,,,,,1.488984,7.04E-03
19,1.8,1.637007,7.75E-03,-4.90E-13,-1.62E-14,0,3.231985e-315,,,,,1.637007,7.75E-03
20,1.9,1.784492,8.47E-03,-1.44E-13,3.49E-15,0,3.231985e-315,,,,,1.784492,8.47E-03
21,2,1.931441,9.18E-03,1.70E-12,1.13E-14,0,3.231985e-315,,,,,1.931441,9.18E-03
22,2.1,2.096868,9.99E-03,9.87E-13,1.28E-14,0,3.231985e-315,,,,,2.096868,9.99E-03
23,2.2,2.307293,1.10E-02,1.53E-12,2.20E-14,0,3.231985e-315,,,,,2.307293,1.10E-02
24,2.3,2.516628,1.20E-02,-3.21E-12,-3.24E-14,0,3.231985e-315,,,,,2.516628,1.20E-02
25,2.4,2.724883,1.31E-02,-3.88E-12,-4.02E-14,0,3.231985e-315,,,,,2.724883,1.31E-02
26,2.5,2.932067,1.41E-02,-1.33E-12,-5.21E-16,0,3.231985e-315,,,,,2.932067,1.41E-02
27,2.6,3.138192,1.51E-02,6.56E-12,7.22E-14,0,3.231985e-315,,,,,3.138192,1.51E-02
28,2.7,3.343266,1.62E-02,8.90E-12,8.20E-14,0,3.231985e-315,,,,,3.343266,1.62E-02
29,2.8,3.5473,1.72E-02,5.37E-12,8.06E-14,0,3.231985e-315,,,,,3.5473,1.72E-02
30,2.9,3.750304,1.82E-02,-4.58E-12,-1.26E-14,0,3.231985e-315,,,,,3.750304,1.82E-02
31,3,3.952287,1.93E-02,-1.31E-12,9.01E-15,0,3.231985e-315,,,,,3.952287,1.93E-02
32,3.1,4.159156,2.03E-02,-1.01E-12,1.83E-14,0,3.231985e-315,,,,,4.159156,2.03E-02
33,3.2,4.379123,2.15E-02,1.64E-12,2.96E-14,0,3.231985e-315,,,,,4.379123,2.15E-02
34,3.3,4.59789,2.26E-02,-2.49E-12,-4.23E-14,0,3.231985e-315,,,,,4.59789,2.26E-02
35,3.4,4.815468,2.37E-02,5.80E-13,-1.62E-14,0,3.231985e-315,,,,,4.815468,2.37E-02
36,3.5,5.031871,2.49E-02,-3.07E-12,-3.40E-14,0,3.231985e-315,,,,,5.031871,2.49E-02
