B (T) - H (A/m),,,,,,,
Pid = 1,,,,,,,
Z = 0,,,,,,,
X = 0,,,,,,,
Y = 0,,,,,,,
,t,H x,B x,H y,B y,H z,B z
1,0,0,0,0,0,0,0.00E+00
2,0.17,2.73E-02,1.27E-04,-9.45E-19,-2.40E-17,0,0.00E+00
3,0.34,0.120388,5.60E-04,-2.00E-11,-3.99E-15,0,0.00E+00
4,0.51,0.21326,9.92E-04,6.49E-13,7.23E-14,0,0.00E+00
5,0.68,0.305921,1.43E-03,-1.11E-12,6.79E-14,0,0.00E+00
6,0.85,0.398372,1.86E-03,-6.33E-13,7.30E-14,0,0.00E+00
7,1.02,0.490613,2.29E-03,-4.85E-13,7.42E-14,0,0.00E+00
8,1.19,0.650681,3.04E-03,4.81E-13,7.49E-14,0,0.00E+00
9,1.36,0.907229,4.26E-03,1.17E-12,8.14E-14,0,0.00E+00
10,1.53,1.162168,5.47E-03,3.50E-12,1.03E-13,0,0.00E+00
11,1.7,1.415515,6.68E-03,2.37E-12,9.06E-14,0,0.00E+00
12,1.87,1.667288,7.90E-03,1.99E-12,8.36E-14,0,0.00E+00
13,2.04,1.917506,9.11E-03,3.43E-12,8.28E-14,0,0.00E+00
14,2.21,2.22431,1.06E-02,4.79E-12,1.09E-13,0,0.00E+00
15,2.38,2.580264,1.24E-02,9.25E-12,1.26E-13,0,0.00E+00
16,2.55,2.933105,1.41E-02,1.19E-11,1.83E-13,0,0.00E+00
17,2.72,3.282882,1.59E-02,5.14E-12,1.29E-13,0,0.00E+00
18,2.89,3.629644,1.76E-02,1.11E-11,2.16E-13,0,0.00E+00
19,3.06,3.97344,1.94E-02,2.42E-11,2.90E-13,0,0.00E+00
20,3.23,4.336327,2.12E-02,2.09E-11,2.87E-13,0,0.00E+00
21,3.4,4.707918,2.32E-02,4.82E-12,1.82E-13,0,0.00E+00
22,3.57,5.076093,2.51E-02,3.28E-12,1.46E-13,0,0.00E+00
23,3.74,5.440911,2.70E-02,3.27E-13,7.81E-14,0,0.00E+00
24,3.91,5.802431,2.90E-02,-5.26E-12,8.27E-14,0,0.00E+00
25,4.08,6.160709,3.09E-02,-1.52E-11,3.60E-14,0,0.00E+00
26,4.25,6.480233,3.26E-02,4.30E-12,1.71E-13,0,0.00E+00
27,4.42,6.786282,3.43E-02,-4.75E-12,9.44E-14,0,0.00E+00
28,4.59,7.09,3.60E-02,7.84E-12,2.19E-13,0,0.00E+00
29,4.76,7.391423,3.76E-02,1.38E-11,3.16E-13,0,0.00E+00
30,4.93,7.690584,3.93E-02,1.55E-13,1.26E-13,0,0.00E+00
31,5.1,7.987517,4.10E-02,-9.13E-12,1.03E-13,0,0.00E+00
32,5.27,8.109874,4.21E-02,-3.51E-12,1.76E-13,0,0.00E+00
33,5.44,8.181973,4.31E-02,3.11E-12,2.52E-13,0,0.00E+00
34,5.61,8.25398,4.40E-02,9.41E-12,3.62E-13,0,0.00E+00
35,5.78,8.325851,4.50E-02,2.13E-11,2.92E-13,0,0.00E+00
36,5.95,8.397587,4.60E-02,2.87E-12,2.60E-13,0,0.00E+00
37,6.12,8.469188,4.70E-02,1.08E-11,2.77E-13,0,0.00E+00
38,6.29,8.540657,4.70E-02,7.91E-12,4.10E-13,0,0.00E+00
39,6.46,8.535081,4.69E-02,2.92E-11,4.23E-13,0,0.00E+00
40,6.63,8.52962,4.68E-02,1.60E-11,4.11E-13,0,0.00E+00
41,6.8,8.524159,4.68E-02,2.36E-11,4.35E-13,0,0.00E+00
42,6.97,8.518699,4.67E-02,2.19E-11,4.16E-13,0,0.00E+00
43,7.14,8.513238,4.65E-02,2.02E-11,4.31E-13,0,0.00E+00
44,7.31,8.30625,4.52E-02,2.33E-11,4.02E-13,0,0.00E+00
45,7.48,8.185075,4.38E-02,1.66E-11,2.25E-13,0,0.00E+00
46,7.65,8.063824,4.25E-02,-5.65E-12,2.88E-14,0,0.00E+00
47,7.82,7.942627,4.11E-02,-2.00E-11,-4.91E-15,0,0.00E+00
48,7.99,7.821483,3.98E-02,-1.50E-11,2.76E-14,0,0.00E+00
49,8.16,7.461121,3.81E-02,-8.70E-12,1.12E-13,0,0.00E+00
50,8.33,6.877801,3.54E-02,-6.88E-12,-2.21E-14,0,0.00E+00
51,8.5,6.294998,3.27E-02,-2.00E-11,-6.58E-14,0,0.00E+00
52,8.67,5.712673,3.00E-02,-4.47E-12,1.83E-13,0,0.00E+00
53,8.84,5.130785,2.73E-02,-4.25E-12,1.47E-13,0,0.00E+00
54,9.01,4.549292,2.47E-02,-1.17E-11,8.03E-14,0,0.00E+00
55,9.18,3.876684,2.15E-02,-3.05E-11,-9.12E-14,0,0.00E+00
56,9.35,3.036004,1.76E-02,-4.18E-11,-1.47E-13,0,0.00E+00
57,9.52,2.195848,1.38E-02,-4.11E-11,-1.81E-13,0,0.00E+00
58,9.69,1.356095,9.86E-03,-4.22E-11,-1.84E-13,0,0.00E+00
59,9.86,0.516621,5.97E-03,-3.84E-11,-1.52E-13,0,0.00E+00
60,10.03,-0.321899,2.07E-03,-3.66E-11,-1.25E-13,0,0.00E+00
61,10.2,-1.232631,-2.23E-03,-2.73E-11,-5.24E-14,0,0.00E+00
62,10.37,-2.217242,-6.99E-03,-2.68E-11,-6.55E-14,0,0.00E+00
63,10.54,-3.178327,-1.18E-02,-3.21E-11,-9.75E-14,0,0.00E+00
64,10.71,-4.116896,-1.65E-02,-3.01E-11,-9.15E-14,0,0.00E+00
65,10.88,-5.033904,-2.13E-02,-2.10E-11,-3.61E-14,0,0.00E+00
66,11.05,-5.930263,-2.60E-02,-2.14E-11,-2.63E-14,0,0.00E+00
67,11.22,-6.845002,-3.10E-02,-3.50E-11,-6.12E-14,0,0.00E+00
68,11.39,-7.765345,-3.61E-02,-1.85E-11,1.53E-13,0,0.00E+00
69,11.56,-8.664789,-4.12E-02,-1.03E-11,2.08E-13,0,0.00E+00
70,11.73,-9.54426,-4.64E-02,-2.45E-11,1.49E-14,0,0.00E+00
71,11.9,-10.404638,-5.15E-02,-2.71E-11,6.62E-14,0,0.00E+00
72,12.07,-11.246767,-5.66E-02,-8.84E-12,3.12E-13,0,0.00E+00
73,12.24,-12.041465,-6.15E-02,2.24E-11,4.65E-13,0,0.00E+00
74,12.41,-12.808328,-6.64E-02,3.04E-11,4.97E-13,0,0.00E+00
75,12.58,-13.56081,-7.12E-02,2.20E-11,4.21E-13,0,0.00E+00
76,12.75,-14.299513,-7.61E-02,-1.63E-11,1.60E-13,0,0.00E+00
77,12.92,-15.025018,-8.09E-02,8.62E-12,4.73E-13,0,0.00E+00
78,13.09,-15.737882,-8.58E-02,2.06E-11,2.43E-13,0,0.00E+00
79,13.26,-16.328597,-8.99E-02,6.40E-12,1.63E-13,0,0.00E+00
80,13.43,-16.887552,-9.38E-02,-1.69E-11,-8.86E-14,0,0.00E+00
81,13.6,-17.439164,-9.77E-02,1.36E-11,4.08E-13,0,0.00E+00
82,13.77,-17.98369,-0.101633,3.48E-11,6.14E-13,0,0.00E+00
83,13.94,-18.521383,-0.105552,6.57E-11,8.64E-13,0,0.00E+00
84,14.11,-19.052486,-0.109472,6.25E-11,8.60E-13,0,0.00E+00
85,14.28,-19.270632,-0.111926,6.97E-11,9.90E-13,0,0.00E+00
86,14.45,-19.401541,-0.114288,8.01E-11,1.10E-12,0,0.00E+00
87,14.62,-19.532245,-0.11665,8.69E-11,1.10E-12,0,0.00E+00
88,14.79,-19.662683,-0.119012,8.03E-11,1.21E-12,0,0.00E+00
89,14.96,-19.792865,-0.121373,9.86E-11,1.30E-12,0,0.00E+00
90,15.13,-19.922799,-0.123617,9.60E-11,1.12E-12,0,0.00E+00
91,15.3,-20.030305,-0.123921,7.16E-11,1.13E-12,0,0.00E+00
92,15.47,-20.046887,-0.124225,8.56E-11,1.31E-12,0,0.00E+00
93,15.64,-20.063551,-0.124529,1.02E-10,1.55E-12,0,0.00E+00
94,15.81,-20.080211,-0.124833,1.23E-10,1.50E-12,0,0.00E+00
95,15.98,-20.096867,-0.125137,1.03E-10,1.55E-12,0,0.00E+00
96,16.15,-20.113519,-0.125029,1.22E-10,1.72E-12,0,0.00E+00
97,16.32,-20.008543,-0.122978,1.32E-10,1.88E-12,0,0.00E+00
98,16.49,-19.813677,-0.120927,1.49E-10,2.04E-12,0,0.00E+00
99,16.66,-19.619309,-0.118876,1.62E-10,2.24E-12,0,0.00E+00
100,16.83,-19.425285,-0.116825,1.84E-10,2.27E-12,0,0.00E+00
