B (T) - H (A/m),,,MATERIAL: M27: USS Motor -- 26 Gage,,,,,,,,,,
Pid = 1,,,,,,,,,,,,,
Z = 0,,,,,,,,,,,,,
X = 0,,,,,,,,,,,,,
Y = 0,,,,,,,,,,,,,
    ,t,Hx,Bx,Hy,By,Hz,Bz,,,,,,
1,0,0,0,0,0,0,0,,,,,0,0
2,1.00E-01,2.98E-02,7.45E-05,5.05E-17,-1.03E-17,0,3.173707e-315,,,,,2.98E-02,7.45E-05
3,0.2,0.131281,3.29E-04,-1.94E-14,-1.54E-15,0,3.173707e-315,,,,,0.131281,3.29E-04
4,0.3,0.232548,5.83E-04,2.66E-12,5.72E-16,0,3.173707e-315,,,,,0.232548,5.83E-04
5,0.4,0.333579,8.37E-04,1.59E-12,-3.44E-16,0,3.173707e-315,,,,,0.333579,8.37E-04
6,0.5,0.434374,1.09E-03,1.39E-12,-1.35E-15,0,3.173707e-315,,,,,0.434374,1.09E-03
7,0.6,0.534935,1.35E-03,2.38E-12,-1.14E-15,0,3.173707e-315,,,,,0.534935,1.35E-03
8,0.7,0.635262,1.60E-03,1.84E-12,-2.96E-15,0,3.173707e-315,,,,,0.635262,1.60E-03
9,0.8,0.735357,1.85E-03,2.05E-12,1.80E-16,0,3.173707e-315,,,,,0.735357,1.85E-03
10,0.9,0.83522,2.11E-03,2.41E-12,-7.46E-17,0,3.173707e-315,,,,,0.83522,2.11E-03
11,1,0.934853,2.36E-03,1.85E-12,-1.33E-15,0,3.173707e-315,,,,,0.934853,2.36E-03
12,1.1,1.086693,2.75E-03,2.59E-12,1.96E-15,0,3.173707e-315,,,,,1.086693,2.75E-03
13,1.2,1.363895,3.47E-03,2.26E-12,2.09E-15,0,3.173707e-315,,,,,1.363895,3.47E-03
14,1.3,1.639329,4.18E-03,2.29E-12,4.41E-15,0,3.173707e-315,,,,,1.639329,4.18E-03
15,1.4,1.913018,4.89E-03,2.86E-12,7.80E-15,0,3.173707e-315,,,,,1.913018,4.89E-03
16,1.5,2.184984,5.61E-03,3.08E-12,2.69E-15,0,3.173707e-315,,,,,2.184984,5.61E-03
17,1.6,2.455248,6.32E-03,2.57E-12,1.13E-15,0,3.173707e-315,,,,,2.455248,6.32E-03
18,1.7,2.723832,7.03E-03,2.43E-12,1.93E-15,0,3.173707e-315,,,,,2.723832,7.03E-03
19,1.8,2.990755,7.74E-03,3.57E-12,5.23E-15,0,3.173707e-315,,,,,2.990755,7.74E-03
20,1.9,3.256038,8.46E-03,3.42E-12,-1.52E-15,0,3.173707e-315,,,,,3.256038,8.46E-03
21,2,3.519701,9.17E-03,2.33E-12,3.55E-15,0,3.173707e-315,,,,,3.519701,9.17E-03
22,2.1,3.815737,9.98E-03,1.98E-12,-2.53E-15,0,3.173707e-315,,,,,3.815737,9.98E-03
23,2.2,4.191126,1.10E-02,-4.59E-12,-3.48E-14,0,3.173707e-315,,,,,4.191126,1.10E-02
24,2.3,4.563278,1.20E-02,-2.06E-12,-2.45E-14,0,3.173707e-315,,,,,4.563278,1.20E-02
25,2.4,4.932246,1.31E-02,-2.33E-12,-2.21E-14,0,3.173707e-315,,,,,4.932246,1.31E-02
26,2.5,5.298084,1.41E-02,-2.72E-12,-1.58E-14,0,3.173707e-315,,,,,5.298084,1.41E-02
27,2.6,5.660844,1.51E-02,-2.56E-12,-1.92E-14,0,3.173707e-315,,,,,5.660844,1.51E-02
28,2.7,6.020576,1.62E-02,-7.17E-12,-1.99E-14,0,3.173707e-315,,,,,6.020576,1.62E-02
29,2.8,6.377331,1.72E-02,4.18E-12,2.18E-14,0,3.173707e-315,,,,,6.377331,1.72E-02
30,2.9,6.731155,1.82E-02,4.60E-12,3.51E-14,0,3.173707e-315,,,,,6.731155,1.82E-02
31,3,7.082096,1.92E-02,9.22E-12,4.30E-14,0,3.173707e-315,,,,,7.082096,1.92E-02
32,3.1,7.440394,2.03E-02,3.19E-12,3.18E-14,0,3.173707e-315,,,,,7.440394,2.03E-02
33,3.2,7.820145,2.14E-02,5.10E-12,1.18E-14,0,3.173707e-315,,,,,7.820145,2.14E-02
34,3.3,8.196573,2.26E-02,4.86E-12,4.43E-14,0,3.173707e-315,,,,,8.196573,2.26E-02
35,3.4,8.569736,2.37E-02,1.48E-11,9.99E-14,0,3.173707e-315,,,,,8.569736,2.37E-02
36,3.5,8.939689,2.48E-02,1.65E-11,9.78E-14,0,3.173707e-315,,,,,8.939689,2.48E-02
37,3.6,9.306485,2.60E-02,1.55E-11,8.82E-14,0,3.173707e-315,,,,,9.306485,2.60E-02
38,3.7,9.670176,2.71E-02,1.86E-11,1.22E-13,0,3.173707e-315,,,,,9.670176,2.71E-02
39,3.8,10.030815,2.82E-02,2.15E-11,1.33E-13,0,3.173707e-315,,,,,10.030815,2.82E-02
40,3.9,10.38845,2.94E-02,2.32E-11,1.57E-13,0,3.173707e-315,,,,,10.38845,2.94E-02
41,4,10.743131,3.05E-02,2.81E-11,1.72E-13,0,3.173707e-315,,,,,10.743131,3.05E-02
42,4.1,10.992204,3.16E-02,3.09E-11,1.82E-13,0,3.173707e-315,,,,,10.992204,3.16E-02
43,4.2,11.118267,3.26E-02,3.13E-11,1.59E-13,0,3.173707e-315,,,,,11.118267,3.26E-02
44,4.3,11.244132,3.36E-02,2.46E-11,1.65E-13,0,3.173707e-315,,,,,11.244132,3.36E-02
45,4.4,11.369604,3.46E-02,3.09E-11,1.57E-13,0,3.173707e-315,,,,,11.369604,3.46E-02
46,4.5,11.494688,3.55E-02,2.38E-11,1.35E-13,0,3.173707e-315,,,,,11.494688,3.55E-02
47,4.6,11.619384,3.65E-02,2.24E-11,1.52E-13,0,3.173707e-315,,,,,11.619384,3.65E-02
48,4.7,11.743697,3.75E-02,2.82E-11,1.78E-13,0,3.173707e-315,,,,,11.743697,3.75E-02
49,4.8,11.867629,3.85E-02,3.11E-11,1.71E-13,0,3.173707e-315,,,,,11.867629,3.85E-02
50,4.9,11.991184,3.95E-02,2.71E-11,1.92E-13,0,3.173707e-315,,,,,11.991184,3.95E-02
51,5,12.114362,4.05E-02,3.47E-11,2.04E-13,0,3.173707e-315,,,,,12.114362,4.05E-02
52,5.1,12.237168,4.13E-02,3.25E-11,1.92E-13,0,3.173707e-315,,,,,12.237168,4.13E-02
53,5.2,12.309611,4.19E-02,3.06E-11,2.08E-13,0,3.173707e-315,,,,,12.309611,4.19E-02
54,5.3,12.381849,4.25E-02,3.55E-11,1.90E-13,0,3.173707e-315,,,,,12.381849,4.25E-02
55,5.4,12.453959,4.31E-02,2.77E-11,2.05E-13,0,3.173707e-315,,,,,12.453959,4.31E-02
56,5.5,12.525942,4.37E-02,3.68E-11,1.82E-13,0,3.173707e-315,,,,,12.525942,4.37E-02
57,5.6,12.597798,4.43E-02,2.47E-11,1.81E-13,0,3.173707e-315,,,,,12.597798,4.43E-02
58,5.7,12.669528,4.48E-02,3.21E-11,2.33E-13,0,3.173707e-315,,,,,12.669528,4.48E-02
59,5.8,12.741131,4.54E-02,4.10E-11,2.34E-13,0,3.173707e-315,,,,,12.741131,4.54E-02
60,5.9,12.81261,4.60E-02,3.54E-11,1.31E-13,0,3.173707e-315,,,,,12.81261,4.60E-02
61,6,12.883964,4.66E-02,1.18E-11,7.04E-14,0,3.173707e-315,,,,,12.883964,4.66E-02
62,6.1,12.955193,4.70E-02,1.09E-11,9.50E-14,0,3.173707e-315,,,,,12.955193,4.70E-02
63,6.2,12.949396,4.69E-02,1.80E-11,8.16E-14,0,3.173707e-315,,,,,12.949396,4.69E-02
64,6.3,12.943443,4.69E-02,9.21E-12,6.97E-14,0,3.173707e-315,,,,,12.943443,4.69E-02
65,6.4,12.93749,4.69E-02,1.20E-11,8.36E-14,0,3.173707e-315,,,,,12.93749,4.69E-02
66,6.5,12.931537,4.68E-02,1.40E-11,9.26E-14,0,3.173707e-315,,,,,12.931537,4.68E-02
67,6.6,12.925585,4.68E-02,1.52E-11,1.08E-13,0,3.173707e-315,,,,,12.925585,4.68E-02
68,6.7,12.919632,4.68E-02,1.87E-11,1.05E-13,0,3.173707e-315,,,,,12.919632,4.68E-02
69,6.8,12.91368,4.67E-02,1.52E-11,8.17E-14,0,3.173707e-315,,,,,12.91368,4.67E-02
70,6.9,12.907727,4.67E-02,1.12E-11,7.55E-14,0,3.173707e-315,,,,,12.907727,4.67E-02
71,7,12.901775,4.67E-02,1.23E-11,5.68E-14,0,3.173707e-315,,,,,12.901775,4.67E-02
72,7.1,12.895822,4.64E-02,6.21E-12,5.21E-14,0,3.173707e-315,,,,,12.895822,4.64E-02
73,7.2,12.763766,4.56E-02,9.18E-12,7.00E-14,0,3.173707e-315,,,,,12.763766,4.56E-02
74,7.3,12.631485,4.48E-02,1.21E-11,4.69E-14,0,3.173707e-315,,,,,12.631485,4.48E-02
