B (T) - H (A/m),,,MATERIAL: 20PNF1500,,,,,,,,,
Pid = 1,,,,,,,,,,,,
Z = 0,,,,,,,,,,,,
X = 0,,,,,,,,,,,,
Y = 0,,,,,,,,,,,,
    ,t,Hx,Bx,Hy,By,Hz,Bz,,,,,
1,0,0,0,0,0,0,0,,,,0,0
2,1.00E-01,8.97E-03,7.46E-05,2.07E-18,2.19E-17,0,3.332685e-315,,,,8.97E-03,7.46E-05
3,0.2,3.96E-02,3.29E-04,-2.01E-14,-8.07E-16,0,3.332685e-315,,,,3.96E-02,3.29E-04
4,0.3,7.02E-02,5.84E-04,-1.24E-12,1.24E-14,0,3.332685e-315,,,,7.02E-02,5.84E-04
5,0.4,0.100677,8.39E-04,2.14E-12,3.78E-14,0,3.332685e-315,,,,0.100677,8.39E-04
6,0.5,0.131161,1.09E-03,1.62E-12,3.31E-14,0,3.332685e-315,,,,0.131161,1.09E-03
7,0.6,0.161603,1.35E-03,1.61E-12,3.02E-14,0,3.332685e-315,,,,0.161603,1.35E-03
8,0.7,0.192003,1.60E-03,1.83E-12,2.50E-14,0,3.332685e-315,,,,0.192003,1.60E-03
9,0.8,0.222362,1.86E-03,1.41E-12,2.57E-14,0,3.332685e-315,,,,0.222362,1.86E-03
10,0.9,0.252679,2.11E-03,2.01E-12,3.41E-14,0,3.332685e-315,,,,0.252679,2.11E-03
11,1,0.282955,2.37E-03,2.60E-12,4.72E-14,0,3.332685e-315,,,,0.282955,2.37E-03
12,1.1,0.32915,2.76E-03,2.93E-12,5.30E-14,0,3.332685e-315,,,,0.32915,2.76E-03
13,1.2,0.413653,3.47E-03,3.60E-12,5.51E-14,0,3.332685e-315,,,,0.413653,3.47E-03
14,1.3,0.497835,4.18E-03,4.15E-12,6.65E-14,0,3.332685e-315,,,,0.497835,4.18E-03
15,1.4,0.581698,4.90E-03,4.19E-12,5.39E-14,0,3.332685e-315,,,,0.581698,4.90E-03
16,1.5,0.665243,5.61E-03,4.71E-12,8.39E-14,0,3.332685e-315,,,,0.665243,5.61E-03
17,1.6,0.748473,6.33E-03,5.83E-12,9.23E-14,0,3.332685e-315,,,,0.748473,6.33E-03
18,1.7,0.83139,7.04E-03,6.76E-12,9.40E-14,0,3.332685e-315,,,,0.83139,7.04E-03
19,1.8,0.913996,7.76E-03,6.89E-12,1.07E-13,0,3.332685e-315,,,,0.913996,7.76E-03
20,1.9,0.996293,8.47E-03,1.15E-11,2.04E-13,0,3.332685e-315,,,,0.996293,8.47E-03
21,2,1.078283,9.18E-03,1.27E-11,2.10E-13,0,3.332685e-315,,,,1.078283,9.18E-03
22,2.1,1.170573,9.99E-03,1.16E-11,1.99E-13,0,3.332685e-315,,,,1.170573,9.99E-03
23,2.2,1.287953,1.10E-02,9.10E-12,1.70E-13,0,3.332685e-315,,,,1.287953,1.10E-02
24,2.3,1.404708,1.21E-02,1.50E-11,2.34E-13,0,3.332685e-315,,,,1.404708,1.21E-02
25,2.4,1.520843,1.31E-02,1.83E-11,2.59E-13,0,3.332685e-315,,,,1.520843,1.31E-02
26,2.5,1.636366,1.41E-02,1.89E-11,2.91E-13,0,3.332685e-315,,,,1.636366,1.41E-02
27,2.6,1.751282,1.51E-02,1.30E-11,1.89E-13,0,3.332685e-315,,,,1.751282,1.51E-02
28,2.7,1.865596,1.62E-02,1.39E-11,2.43E-13,0,3.332685e-315,,,,1.865596,1.62E-02
29,2.8,1.979315,1.72E-02,2.03E-11,3.22E-13,0,3.332685e-315,,,,1.979315,1.72E-02
30,2.9,2.092444,1.82E-02,2.64E-11,3.74E-13,0,3.332685e-315,,,,2.092444,1.82E-02
31,3,2.204988,1.93E-02,1.49E-11,2.10E-13,0,3.332685e-315,,,,2.204988,1.93E-02
32,3.1,2.320238,2.03E-02,1.44E-11,1.54E-13,0,3.332685e-315,,,,2.320238,2.03E-02
33,3.2,2.442768,2.15E-02,1.04E-11,1.57E-13,0,3.332685e-315,,,,2.442768,2.15E-02
34,3.3,2.564611,2.26E-02,9.91E-12,8.00E-14,0,3.332685e-315,,,,2.564611,2.26E-02
35,3.4,2.685774,2.37E-02,2.54E-12,-2.57E-14,0,3.332685e-315,,,,2.685774,2.37E-02
36,3.5,2.806264,2.49E-02,-2.82E-12,-1.09E-13,0,3.332685e-315,,,,2.806264,2.49E-02
37,3.6,2.926088,2.60E-02,-1.33E-11,-2.14E-13,0,3.332685e-315,,,,2.926088,2.60E-02
38,3.7,3.045254,2.71E-02,-1.18E-12,5.43E-14,0,3.332685e-315,,,,3.045254,2.71E-02
39,3.8,3.163767,2.83E-02,1.04E-11,2.50E-13,0,3.332685e-315,,,,3.163767,2.83E-02
40,3.9,3.281635,2.94E-02,1.60E-11,2.42E-13,0,3.332685e-315,,,,3.281635,2.94E-02
41,4,3.398864,3.06E-02,1.83E-11,3.12E-13,0,3.332685e-315,,,,3.398864,3.06E-02
42,4.1,3.481378,3.16E-02,1.59E-11,4.85E-13,0,3.332685e-315,,,,3.481378,3.16E-02
43,4.2,3.523221,3.26E-02,3.15E-11,7.03E-13,0,3.332685e-315,,,,3.523221,3.26E-02
44,4.3,3.565004,3.36E-02,3.86E-11,7.06E-13,0,3.332685e-315,,,,3.565004,3.36E-02
45,4.4,3.606705,3.46E-02,3.39E-11,7.88E-13,0,3.332685e-315,,,,3.606705,3.46E-02
46,4.5,3.648325,3.56E-02,4.38E-11,8.06E-13,0,3.332685e-315,,,,3.648325,3.56E-02
47,4.6,3.689864,3.66E-02,3.85E-11,8.98E-13,0,3.332685e-315,,,,3.689864,3.66E-02
48,4.7,3.731323,3.76E-02,4.94E-11,8.61E-13,0,3.332685e-315,,,,3.731323,3.76E-02
49,4.8,3.772703,3.85E-02,3.87E-11,8.22E-13,0,3.332685e-315,,,,3.772703,3.85E-02
50,4.9,3.814004,3.95E-02,4.26E-11,8.11E-13,0,3.332685e-315,,,,3.814004,3.95E-02
51,5,3.855226,4.05E-02,3.89E-11,8.59E-13,0,3.332685e-315,,,,3.855226,4.05E-02
52,5.1,3.896371,4.14E-02,4.53E-11,7.75E-13,0,3.332685e-315,,,,3.896371,4.14E-02
53,5.2,3.920647,4.20E-02,3.31E-11,7.05E-13,0,3.332685e-315,,,,3.920647,4.20E-02
54,5.3,3.944888,4.25E-02,3.55E-11,4.14E-13,0,3.332685e-315,,,,3.944888,4.25E-02
55,5.4,3.969103,4.31E-02,1.02E-11,4.16E-13,0,3.332685e-315,,,,3.969103,4.31E-02
56,5.5,3.99329,4.37E-02,2.74E-11,6.70E-13,0,3.332685e-315,,,,3.99329,4.37E-02
57,5.6,4.017452,4.43E-02,3.66E-11,7.79E-13,0,3.332685e-315,,,,4.017452,4.43E-02
58,5.7,4.041586,4.49E-02,3.94E-11,7.43E-13,0,3.332685e-315,,,,4.041586,4.49E-02
59,5.8,4.065695,4.55E-02,3.43E-11,7.40E-13,0,3.332685e-315,,,,4.065695,4.55E-02
60,5.9,4.089778,4.60E-02,3.72E-11,8.77E-13,0,3.332685e-315,,,,4.089778,4.60E-02
61,6,4.113834,4.66E-02,4.60E-11,9.59E-13,0,3.332685e-315,,,,4.113834,4.66E-02
62,6.1,4.137865,4.70E-02,4.66E-11,1.07E-12,0,3.332685e-315,,,,4.137865,4.70E-02
63,6.2,4.136088,4.70E-02,5.52E-11,1.10E-12,0,3.332685e-315,,,,4.136088,4.70E-02
64,6.3,4.134294,4.70E-02,5.17E-11,1.09E-12,0,3.332685e-315,,,,4.134294,4.70E-02
65,6.4,4.132501,4.69E-02,5.37E-11,1.19E-12,0,3.332685e-315,,,,4.132501,4.69E-02
66,6.5,4.130708,4.69E-02,6.06E-11,1.21E-12,0,3.332685e-315,,,,4.130708,4.69E-02
67,6.6,4.128915,4.68E-02,5.77E-11,1.18E-12,0,3.332685e-315,,,,4.128915,4.68E-02
68,6.7,4.127122,4.68E-02,5.73E-11,1.14E-12,0,3.332685e-315,,,,4.127122,4.68E-02
69,6.8,4.125329,4.68E-02,5.37E-11,1.11E-12,0,3.332685e-315,,,,4.125329,4.68E-02
70,6.9,4.123536,4.67E-02,5.41E-11,1.06E-12,0,3.332685e-315,,,,4.123536,4.67E-02
71,7,4.121743,4.67E-02,4.89E-11,9.80E-13,0,3.332685e-315,,,,4.121743,4.67E-02
72,7.1,4.11995,4.64E-02,4.61E-11,9.84E-13,0,3.332685e-315,,,,4.11995,4.64E-02
73,7.2,4.08012,4.57E-02,4.84E-11,8.06E-13,0,3.332685e-315,,,,4.08012,4.57E-02
74,7.3,4.040278,4.49E-02,3.15E-11,8.73E-13,0,3.332685e-315,,,,4.040278,4.49E-02
75,7.4,4.000447,4.41E-02,4.92E-11,8.92E-13,0,3.332685e-315,,,,4.000447,4.41E-02
76,7.5,3.960627,4.33E-02,3.83E-11,7.45E-13,0,3.332685e-315,,,,3.960627,4.33E-02
77,7.6,3.920817,4.25E-02,3.35E-11,7.31E-13,0,3.332685e-315,,,,3.920817,4.25E-02
78,7.7,3.881019,4.17E-02,3.57E-11,7.94E-13,0,3.332685e-315,,,,3.881019,4.17E-02
79,7.8,3.841231,4.09E-02,3.95E-11,7.07E-13,0,3.332685e-315,,,,3.841231,4.09E-02
80,7.9,3.801453,4.01E-02,2.94E-11,6.15E-13,0,3.332685e-315,,,,3.801453,4.01E-02
81,8,3.761685,3.93E-02,2.87E-11,5.77E-13,0,3.332685e-315,,,,3.761685,3.93E-02
82,8.1,3.665745,3.83E-02,3.07E-11,6.18E-13,0,3.332685e-315,,,,3.665745,3.83E-02
83,8.2,3.474055,3.67E-02,3.75E-11,9.60E-13,0,3.332685e-315,,,,3.474055,3.67E-02
84,8.3,3.282469,3.51E-02,5.73E-11,1.26E-12,0,3.332685e-315,,,,3.282469,3.51E-02
85,8.4,3.090981,3.35E-02,5.81E-11,1.42E-12,0,3.332685e-315,,,,3.090981,3.35E-02
86,8.5,2.899586,3.20E-02,7.92E-11,1.58E-12,0,3.332685e-315,,,,2.899586,3.20E-02
87,8.6,2.70828,3.04E-02,7.83E-11,1.76E-12,0,3.332685e-315,,,,2.70828,3.04E-02
88,8.7,2.517058,2.88E-02,7.45E-11,1.67E-12,0,3.332685e-315,,,,2.517058,2.88E-02
89,8.8,2.325916,2.72E-02,6.80E-11,1.65E-12,0,3.332685e-315,,,,2.325916,2.72E-02
90,8.9,2.134848,2.56E-02,7.54E-11,1.78E-12,0,3.332685e-315,,,,2.134848,2.56E-02
91,9,1.94385,2.40E-02,7.44E-11,1.80E-12,0,3.332685e-315,,,,1.94385,2.40E-02
92,9.1,1.727888,2.23E-02,5.88E-11,1.52E-12,0,3.332685e-315,,,,1.727888,2.23E-02
93,9.2,1.451598,2.00E-02,5.90E-11,1.42E-12,0,3.332685e-315,,,,1.451598,2.00E-02
94,9.3,1.175421,1.77E-02,3.82E-11,1.25E-12,0,3.332685e-315,,,,1.175421,1.77E-02
95,9.4,0.899341,1.54E-02,3.65E-11,1.12E-12,0,3.332685e-315,,,,0.899341,1.54E-02
96,9.5,0.623344,1.31E-02,2.97E-11,1.06E-12,0,3.332685e-315,,,,0.623344,1.31E-02
97,9.6,0.347417,1.08E-02,3.63E-11,1.20E-12,0,3.332685e-315,,,,0.347417,1.08E-02
98,9.7,7.15E-02,8.50E-03,3.76E-11,1.21E-12,0,3.332685e-315,,,,7.15E-02,8.50E-03
99,9.8,-0.203781,6.21E-03,3.59E-11,1.21E-12,0,3.332685e-315,,,,-0.203781,6.21E-03
100,9.9,-0.476042,3.92E-03,3.71E-11,1.26E-12,0,3.332685e-315,,,,-0.476042,3.92E-03
101,10,-0.744959,1.63E-03,3.83E-11,1.29E-12,0,3.332685e-315,,,,-0.744959,1.63E-03
102,10.1,-1.027781,-8.16E-04,4.21E-11,1.31E-12,0,3.332685e-315,,,,-1.027781,-8.16E-04
103,10.2,-1.347861,-3.62E-03,3.93E-11,1.29E-12,0,3.332685e-315,,,,-1.347861,-3.62E-03
104,10.3,-1.663284,-6.42E-03,3.80E-11,1.26E-12,0,3.332685e-315,,,,-1.663284,-6.42E-03
105,10.4,-1.974171,-9.22E-03,3.71E-11,1.22E-12,0,3.332685e-315,,,,-1.974171,-9.22E-03
106,10.5,-2.280636,-1.20E-02,3.72E-11,1.35E-12,0,3.332685e-315,,,,-2.280636,-1.20E-02
107,10.6,-2.582793,-1.48E-02,4.77E-11,1.41E-12,0,3.332685e-315,,,,-2.582793,-1.48E-02
108,10.7,-2.88075,-1.76E-02,4.47E-11,1.47E-12,0,3.332685e-315,,,,-2.88075,-1.76E-02
109,10.8,-3.174614,-2.04E-02,4.09E-11,1.36E-12,0,3.332685e-315,,,,-3.174614,-2.04E-02
110,10.9,-3.464487,-2.32E-02,3.71E-11,1.19E-12,0,3.332685e-315,,,,-3.464487,-2.32E-02
111,11,-3.75047,-2.60E-02,2.69E-11,9.00E-13,0,3.332685e-315,,,,-3.75047,-2.60E-02
112,11.1,-4.038819,-2.89E-02,2.58E-11,1.07E-12,0,3.332685e-315,,,,-4.038819,-2.89E-02
113,11.2,-4.337975,-3.19E-02,3.87E-11,1.20E-12,0,3.332685e-315,,,,-4.337975,-3.19E-02
114,11.3,-4.632973,-3.49E-02,2.06E-11,9.43E-13,0,3.332685e-315,,,,-4.632973,-3.49E-02
115,11.4,-4.923926,-3.79E-02,3.92E-11,1.29E-12,0,3.332685e-315,,,,-4.923926,-3.79E-02
116,11.5,-5.210941,-4.09E-02,2.75E-11,1.02E-12,0,3.332685e-315,,,,-5.210941,-4.09E-02
117,11.6,-5.494124,-4.40E-02,1.12E-11,8.97E-13,0,3.332685e-315,,,,-5.494124,-4.40E-02
118,11.7,-5.773578,-4.70E-02,4.71E-12,5.95E-13,0,3.332685e-315,,,,-5.773578,-4.70E-02
