B (T) - H (A/m),,,,,,,
Pid = 1,,,,,,,
Z = 0,,,,,,,
X = 0,,,,,,,
Y = 0,,,,,,,
,t,H x,B x,H y,B y,H z,B z
1,0,0,0,0,0,0,0.00E+00
2,1.70E-02,1.53E-03,1.27E-05,-3.07E-20,-5.98E-18,0,0.00E+00
3,3.40E-02,6.73E-03,5.60E-05,3.88E-16,-2.83E-17,0,0.00E+00
4,5.10E-02,1.19E-02,9.93E-05,-8.97E-15,-1.06E-16,0,0.00E+00
5,6.80E-02,1.71E-02,1.43E-04,-7.17E-15,2.37E-17,0,0.00E+00
6,8.50E-02,2.24E-02,1.86E-04,4.10E-15,1.65E-16,0,0.00E+00
7,0.102,2.76E-02,2.29E-04,7.78E-15,1.91E-16,0,0.00E+00
8,0.119,3.28E-02,2.72E-04,2.17E-14,3.23E-16,0,0.00E+00
9,0.136,3.80E-02,3.16E-04,-3.06E-15,1.80E-17,0,0.00E+00
10,0.153,4.32E-02,3.59E-04,1.03E-14,1.44E-16,0,0.00E+00
11,0.17,4.84E-02,4.02E-04,-1.45E-14,-2.07E-17,0,0.00E+00
12,0.187,5.36E-02,4.46E-04,2.95E-13,3.87E-16,0,0.00E+00
13,0.204,5.88E-02,4.89E-04,1.29E-13,-5.43E-15,0,0.00E+00
14,0.221,6.39E-02,5.32E-04,-3.35E-13,-1.39E-14,0,0.00E+00
15,0.238,6.91E-02,5.76E-04,-7.63E-14,-8.91E-15,0,0.00E+00
16,0.255,7.43E-02,6.19E-04,-2.13E-13,-9.10E-15,0,0.00E+00
17,0.272,7.95E-02,6.62E-04,-7.59E-13,-8.94E-15,0,0.00E+00
18,0.289,8.47E-02,7.05E-04,-8.92E-14,-7.85E-15,0,0.00E+00
19,0.306,8.99E-02,7.49E-04,1.31E-13,-2.81E-15,0,0.00E+00
20,0.323,9.51E-02,7.92E-04,-1.95E-13,-6.02E-15,0,0.00E+00
21,0.34,0.100277,8.35E-04,-2.98E-13,-5.62E-15,0,0.00E+00
22,0.357,0.105463,8.79E-04,-3.70E-13,-5.38E-15,0,0.00E+00
23,0.374,0.110647,9.22E-04,-4.82E-13,-5.06E-15,0,0.00E+00
24,0.391,0.11583,9.65E-04,-1.96E-14,-2.36E-15,0,0.00E+00
25,0.408,0.121011,1.01E-03,-3.71E-13,-3.11E-15,0,0.00E+00
26,0.425,0.126192,1.05E-03,-5.30E-14,3.26E-16,0,0.00E+00
27,0.442,0.131371,1.10E-03,2.99E-14,2.90E-15,0,0.00E+00
