B (T) - H (A/m),,,,,,,
Pid = 1,,,,,,,
Z = 0,,,,,,,
X = 0,,,,,,,
Y = 0,,,,,,,
,t,H x,B x,H y,B y,H z,B z
1,0,0,0,0,0,0,0
2,0.17,5.06E-02,1.27E-04,9.37E-17,1.06E-17,0,0.00E+00
3,0.34,0.222941,5.59E-04,5.51E-13,4.86E-15,0,0.00E+00
4,0.51,0.394591,9.91E-04,3.44E-13,1.10E-14,0,0.00E+00
5,0.68,0.565562,1.42E-03,2.22E-12,1.69E-14,0,0.00E+00
6,0.85,0.735859,1.86E-03,2.21E-12,1.42E-14,0,0.00E+00
7,1.02,0.905488,2.29E-03,2.04E-12,1.53E-14,0,0.00E+00
8,1.19,1.199179,3.04E-03,1.97E-12,1.67E-14,0,0.00E+00
9,1.36,1.668153,4.25E-03,2.57E-12,2.05E-14,0,0.00E+00
10,1.53,2.132089,5.47E-03,4.50E-12,2.59E-14,0,0.00E+00
11,1.7,2.591095,6.68E-03,4.01E-12,2.69E-14,0,0.00E+00
12,1.87,3.045274,7.89E-03,3.60E-12,2.29E-14,0,0.00E+00
13,2.04,3.494724,9.10E-03,5.79E-12,3.91E-14,0,0.00E+00
14,2.21,4.043241,1.06E-02,8.00E-12,4.09E-14,0,0.00E+00
15,2.38,4.676151,1.24E-02,8.40E-12,5.69E-14,0,0.00E+00
16,2.55,5.299907,1.41E-02,6.63E-12,5.55E-14,0,0.00E+00
17,2.72,5.914768,1.59E-02,9.31E-12,5.83E-14,0,0.00E+00
18,2.89,6.520979,1.76E-02,1.25E-11,8.21E-14,0,0.00E+00
19,3.06,7.118778,1.94E-02,8.46E-12,7.44E-15,0,0.00E+00
20,3.23,7.746355,2.12E-02,-4.52E-12,-1.63E-14,0,0.00E+00
21,3.4,8.385423,2.32E-02,8.95E-12,8.12E-15,0,0.00E+00
22,3.57,9.015135,2.51E-02,1.52E-11,-2.19E-14,0,0.00E+00
23,3.74,9.635754,2.70E-02,2.83E-12,-3.64E-14,0,0.00E+00
24,3.91,10.247536,2.89E-02,-1.26E-12,-5.94E-14,0,0.00E+00
25,4.08,10.850723,3.09E-02,-5.98E-12,-5.75E-14,0,0.00E+00
26,4.25,11.386105,3.26E-02,1.31E-11,3.86E-14,0,0.00E+00
27,4.42,11.896677,3.43E-02,4.41E-12,2.45E-14,0,0.00E+00
28,4.59,12.401241,3.59E-02,4.75E-12,5.39E-14,0,0.00E+00
29,4.76,12.899934,3.76E-02,6.22E-12,1.73E-14,0,0.00E+00
