B (T) - H (A/m),,,,,,,,,
Pid = 1,,,,,,,,,
Z = 0,,,,,,,,,
X = 0,,,,,,,,,
Y = 0,,,,,,,,,
,t,H x,B x,H y,B y,H z,B z,,H x
1,0,0,0,0,0,0,0.00E+00,,0
2,1.70E-02,9.29E-04,1.27E-05,-2.20E-18,-3.34E-18,0,0.00E+00,,9.29E-04
3,3.40E-02,4.10E-03,5.60E-05,1.77E-16,-3.21E-18,0,0.00E+00,,4.10E-03
4,5.10E-02,7.27E-03,9.93E-05,-3.26E-15,-1.56E-16,0,0.00E+00,,7.27E-03
5,6.80E-02,1.04E-02,1.43E-04,7.33E-16,6.66E-17,0,0.00E+00,,1.04E-02
6,8.50E-02,1.36E-02,1.86E-04,7.13E-16,3.84E-16,0,0.00E+00,,1.36E-02
7,0.102,1.68E-02,2.29E-04,6.93E-15,2.14E-16,0,0.00E+00,,1.68E-02
8,0.119,1.99E-02,2.73E-04,2.14E-14,5.49E-16,0,0.00E+00,,1.99E-02
9,0.136,2.31E-02,3.16E-04,3.01E-14,7.78E-16,0,0.00E+00,,2.31E-02
10,0.153,2.63E-02,3.59E-04,-2.09E-14,-5.14E-16,0,0.00E+00,,2.63E-02
11,0.17,2.95E-02,4.02E-04,-5.12E-14,-1.22E-15,0,0.00E+00,,2.95E-02
12,0.187,3.26E-02,4.46E-04,-2.00E-14,4.33E-16,0,0.00E+00,,3.26E-02
13,0.204,3.58E-02,4.89E-04,-2.09E-14,4.77E-16,0,0.00E+00,,3.58E-02
14,0.221,3.90E-02,5.32E-04,-1.78E-13,2.27E-15,0,0.00E+00,,3.90E-02
15,0.238,4.21E-02,5.76E-04,4.51E-14,7.23E-15,0,0.00E+00,,4.21E-02
16,0.255,4.53E-02,6.19E-04,4.77E-14,1.49E-15,0,0.00E+00,,4.53E-02
17,0.272,4.84E-02,6.62E-04,5.44E-14,-3.99E-16,0,0.00E+00,,4.84E-02
18,0.289,5.16E-02,7.06E-04,-3.54E-13,1.36E-15,0,0.00E+00,,5.16E-02
19,0.306,5.48E-02,7.49E-04,-4.52E-13,1.17E-15,0,0.00E+00,,5.48E-02
20,0.323,5.79E-02,7.92E-04,-3.06E-13,6.35E-15,0,0.00E+00,,5.79E-02
21,0.34,6.11E-02,8.36E-04,-4.43E-13,6.20E-15,0,0.00E+00,,6.11E-02
22,0.357,6.43E-02,8.79E-04,-1.99E-13,1.25E-14,0,0.00E+00,,6.43E-02
23,0.374,6.74E-02,9.22E-04,-2.16E-13,1.18E-14,0,0.00E+00,,6.74E-02
24,0.391,7.06E-02,9.65E-04,-2.46E-13,1.07E-14,0,0.00E+00,,7.06E-02
25,0.408,7.37E-02,1.01E-03,-2.57E-13,9.86E-15,0,0.00E+00,,7.37E-02
26,0.425,7.69E-02,1.05E-03,5.29E-14,1.32E-14,0,0.00E+00,,7.69E-02
27,0.442,8.01E-02,1.10E-03,-2.56E-14,1.57E-14,0,0.00E+00,,8.01E-02
28,0.459,8.32E-02,1.14E-03,-9.60E-14,1.37E-14,0,0.00E+00,,8.32E-02
29,0.476,8.64E-02,1.18E-03,-8.40E-14,1.38E-14,0,0.00E+00,,8.64E-02
30,0.493,8.95E-02,1.23E-03,-3.06E-13,1.11E-14,0,0.00E+00,,8.95E-02
31,0.51,9.18E-02,1.27E-03,-2.81E-13,8.39E-15,0,0.00E+00,,9.18E-02
32,0.527,9.31E-02,1.31E-03,-5.23E-13,1.22E-14,0,0.00E+00,,9.31E-02
33,0.544,9.44E-02,1.36E-03,-1.47E-13,1.51E-14,0,0.00E+00,,9.44E-02
34,0.561,9.57E-02,1.40E-03,-1.95E-13,1.13E-14,0,0.00E+00,,9.57E-02
35,0.578,9.70E-02,1.44E-03,-3.00E-13,9.29E-15,0,0.00E+00,,9.70E-02
36,0.595,9.83E-02,1.49E-03,-3.72E-13,9.02E-15,0,0.00E+00,,9.83E-02
37,0.612,9.96E-02,1.53E-03,-3.09E-13,5.61E-15,0,0.00E+00,,9.96E-02
38,0.629,0.100933,1.57E-03,-5.13E-13,5.90E-15,0,0.00E+00,,0.100933
39,0.646,0.102241,1.62E-03,-3.51E-13,5.20E-15,0,0.00E+00,,0.102241
40,0.663,0.103549,1.66E-03,-5.15E-13,1.50E-15,0,0.00E+00,,0.103549
41,0.68,0.104856,1.70E-03,-6.00E-13,-8.69E-17,0,0.00E+00,,0.104856
42,0.697,0.106164,1.75E-03,-5.96E-13,-1.43E-15,0,0.00E+00,,0.106164
43,0.714,0.107471,1.79E-03,-6.82E-13,-3.97E-15,0,0.00E+00,,0.107471
44,0.731,0.108778,1.83E-03,-7.29E-13,-2.03E-15,0,0.00E+00,,0.108778
45,0.748,0.110086,1.87E-03,-5.98E-13,3.67E-16,0,0.00E+00,,0.110086
46,0.765,0.111393,1.92E-03,-5.76E-13,1.64E-15,0,0.00E+00,,0.111393
47,0.782,0.1127,1.96E-03,-5.21E-13,1.32E-15,0,0.00E+00,,0.1127
48,0.799,0.114007,2.00E-03,-5.95E-13,-5.37E-15,0,0.00E+00,,0.114007
49,0.816,0.115313,2.05E-03,-9.03E-13,-1.27E-14,0,0.00E+00,,0.115313
50,0.833,0.11662,2.09E-03,-1.11E-12,-1.43E-14,0,0.00E+00,,0.11662
51,0.85,0.117927,2.13E-03,-1.06E-12,-9.34E-15,0,0.00E+00,,0.117927
52,0.867,0.119233,2.18E-03,-8.61E-13,-9.29E-15,0,0.00E+00,,0.119233
53,0.884,0.12054,2.22E-03,-9.75E-13,-6.45E-15,0,0.00E+00,,0.12054
54,0.901,0.121846,2.26E-03,-7.64E-13,-3.07E-15,0,0.00E+00,,0.121846
