B (T) - H (A/m),,,MATERIAL: M6: Unisil/alphasil 35 M6,,,,,,,,,,
Pid = 1,,,,,,,,,,,,,
Z = 0,,,,,,,,,,,,,
X = 0,,,,,,,,,,,,,
Y = 0,,,,,,,,,,,,,
    ,t,Hx,Bx,Hy,By,Hz,Bz,,,,,,
1,0,0,0,0,0,0,0,,,,,0,0
2,1.00E-01,5.46E-03,7.46E-05,-1.19E-17,-2.86E-17,0,3.172737e-315,,,,,5.46E-03,7.46E-05
3,0.2,2.41E-02,3.29E-04,1.64E-14,2.48E-16,0,3.172737e-315,,,,,2.41E-02,3.29E-04
4,0.3,4.27E-02,5.84E-04,1.82E-12,-2.04E-15,0,3.172737e-315,,,,,4.27E-02,5.84E-04
5,0.4,6.13E-02,8.39E-04,-2.31E-14,-3.81E-14,0,3.172737e-315,,,,,6.13E-02,8.39E-04
6,0.5,7.99E-02,1.09E-03,-2.14E-13,-4.72E-14,0,3.172737e-315,,,,,7.99E-02,1.09E-03
7,0.6,9.85E-02,1.35E-03,-1.50E-13,-5.66E-14,0,3.172737e-315,,,,,9.85E-02,1.35E-03
8,0.7,0.117077,1.60E-03,-5.70E-13,-6.73E-14,0,3.172737e-315,,,,,0.117077,1.60E-03
9,0.8,0.135622,1.86E-03,-9.83E-13,-6.18E-14,0,3.172737e-315,,,,,0.135622,1.86E-03
10,0.9,0.15415,2.11E-03,-1.49E-13,-6.71E-14,0,3.172737e-315,,,,,0.15415,2.11E-03
11,1,0.172661,2.37E-03,-5.40E-13,-6.74E-14,0,3.172737e-315,,,,,0.172661,2.37E-03
12,1.1,0.200923,2.76E-03,-9.54E-13,-8.08E-14,0,3.172737e-315,,,,,0.200923,2.76E-03
13,1.2,0.252676,3.47E-03,-1.15E-12,-7.53E-14,0,3.172737e-315,,,,,0.252676,3.47E-03
14,1.3,0.3043,4.19E-03,-7.98E-13,-7.75E-14,0,3.172737e-315,,,,,0.3043,4.19E-03
15,1.4,0.355797,4.90E-03,-2.75E-12,-1.21E-13,0,3.172737e-315,,,,,0.355797,4.90E-03
16,1.5,0.407168,5.61E-03,-3.12E-12,-1.21E-13,0,3.172737e-315,,,,,0.407168,5.61E-03
17,1.6,0.458412,6.33E-03,-4.57E-12,-1.50E-13,0,3.172737e-315,,,,,0.458412,6.33E-03
18,1.7,0.50953,7.04E-03,-3.84E-12,-1.49E-13,0,3.172737e-315,,,,,0.50953,7.04E-03
19,1.8,0.560523,7.76E-03,-3.71E-12,-1.62E-13,0,3.172737e-315,,,,,0.560523,7.76E-03
20,1.9,0.611392,8.47E-03,-5.52E-12,-2.22E-13,0,3.172737e-315,,,,,0.611392,8.47E-03
21,2,0.662137,9.19E-03,-5.86E-12,-1.94E-13,0,3.172737e-315,,,,,0.662137,9.19E-03
22,2.1,0.719336,9.99E-03,-6.31E-12,-2.42E-13,0,3.172737e-315,,,,,0.719336,9.99E-03
23,2.2,0.792205,1.10E-02,-4.28E-12,-1.88E-13,0,3.172737e-315,,,,,0.792205,1.10E-02
24,2.3,0.86482,1.21E-02,-4.73E-12,-2.31E-13,0,3.172737e-315,,,,,0.86482,1.21E-02
25,2.4,0.937183,1.31E-02,-4.68E-12,-2.18E-13,0,3.172737e-315,,,,,0.937183,1.31E-02
26,2.5,1.009296,1.41E-02,-4.68E-12,-2.48E-13,0,3.172737e-315,,,,,1.009296,1.41E-02
27,2.6,1.08116,1.52E-02,-3.45E-12,-2.55E-13,0,3.172737e-315,,,,,1.08116,1.52E-02
28,2.7,1.152778,1.62E-02,-4.52E-12,-2.43E-13,0,3.172737e-315,,,,,1.152778,1.62E-02
29,2.8,1.22415,1.72E-02,-2.84E-12,-2.17E-13,0,3.172737e-315,,,,,1.22415,1.72E-02
30,2.9,1.295279,1.82E-02,4.10E-12,7.83E-14,0,3.172737e-315,,,,,1.295279,1.82E-02
31,3,1.366166,1.93E-02,1.90E-12,7.46E-14,0,3.172737e-315,,,,,1.366166,1.93E-02
32,3.1,1.438888,2.03E-02,4.87E-12,1.01E-13,0,3.172737e-315,,,,,1.438888,2.03E-02
33,3.2,1.516348,2.15E-02,3.35E-12,-5.28E-15,0,3.172737e-315,,,,,1.516348,2.15E-02
34,3.3,1.593521,2.26E-02,1.66E-12,-1.17E-13,0,3.172737e-315,,,,,1.593521,2.26E-02
35,3.4,1.67041,2.37E-02,-1.89E-12,-1.08E-13,0,3.172737e-315,,,,,1.67041,2.37E-02
36,3.5,1.747017,2.49E-02,9.67E-12,2.01E-13,0,3.172737e-315,,,,,1.747017,2.49E-02
37,3.6,1.823345,2.60E-02,2.16E-11,4.53E-13,0,3.172737e-315,,,,,1.823345,2.60E-02
38,3.7,1.899394,2.72E-02,1.95E-11,3.94E-13,0,3.172737e-315,,,,,1.899394,2.72E-02
39,3.8,1.975168,2.83E-02,1.57E-11,3.40E-13,0,3.172737e-315,,,,,1.975168,2.83E-02
40,3.9,2.050669,2.94E-02,1.41E-11,2.46E-13,0,3.172737e-315,,,,,2.050669,2.94E-02
41,4,2.125898,3.06E-02,1.53E-11,3.63E-13,0,3.172737e-315,,,,,2.125898,3.06E-02
42,4.1,2.178931,3.17E-02,2.08E-11,4.01E-13,0,3.172737e-315,,,,,2.178931,3.17E-02
43,4.2,2.205851,3.26E-02,1.89E-11,3.86E-13,0,3.172737e-315,,,,,2.205851,3.26E-02
44,4.3,2.232741,3.36E-02,1.93E-11,5.42E-13,0,3.172737e-315,,,,,2.232741,3.36E-02
45,4.4,2.259593,3.46E-02,2.69E-11,7.23E-13,0,3.172737e-315,,,,,2.259593,3.46E-02
46,4.5,2.286408,3.56E-02,3.06E-11,6.01E-13,0,3.172737e-315,,,,,2.286408,3.56E-02
47,4.6,2.313184,3.66E-02,2.19E-11,6.62E-13,0,3.172737e-315,,,,,2.313184,3.66E-02
48,4.7,2.339924,3.76E-02,3.08E-11,7.04E-13,0,3.172737e-315,,,,,2.339924,3.76E-02
49,4.8,2.366626,3.86E-02,2.66E-11,5.28E-13,0,3.172737e-315,,,,,2.366626,3.86E-02
50,4.9,2.393291,3.95E-02,2.06E-11,3.53E-13,0,3.172737e-315,,,,,2.393291,3.95E-02
51,5,2.419919,4.05E-02,1.60E-11,3.35E-13,0,3.172737e-315,,,,,2.419919,4.05E-02
52,5.1,2.44651,4.14E-02,1.83E-11,3.54E-13,0,3.172737e-315,,,,,2.44651,4.14E-02
53,5.2,2.462204,4.20E-02,1.67E-11,3.66E-13,0,3.172737e-315,,,,,2.462204,4.20E-02
54,5.3,2.477882,4.26E-02,1.84E-11,4.11E-13,0,3.172737e-315,,,,,2.477882,4.26E-02
55,5.4,2.493547,4.31E-02,1.97E-11,5.31E-13,0,3.172737e-315,,,,,2.493547,4.31E-02
56,5.5,2.5092,4.37E-02,2.48E-11,3.67E-13,0,3.172737e-315,,,,,2.5092,4.37E-02
57,5.6,2.52484,4.43E-02,1.30E-11,3.14E-13,0,3.172737e-315,,,,,2.52484,4.43E-02
58,5.7,2.540468,4.49E-02,1.84E-11,6.21E-13,0,3.172737e-315,,,,,2.540468,4.49E-02
59,5.8,2.556083,4.55E-02,3.01E-11,8.36E-13,0,3.172737e-315,,,,,2.556083,4.55E-02
60,5.9,2.571686,4.61E-02,3.28E-11,5.37E-13,0,3.172737e-315,,,,,2.571686,4.61E-02
61,6,2.587276,4.66E-02,1.60E-11,1.55E-13,0,3.172737e-315,,,,,2.587276,4.66E-02
62,6.1,2.602854,4.70E-02,8.17E-12,-6.08E-14,0,3.172737e-315,,,,,2.602854,4.70E-02
63,6.2,2.601772,4.70E-02,2.55E-12,-4.17E-14,0,3.172737e-315,,,,,2.601772,4.70E-02
64,6.3,2.600684,4.70E-02,7.52E-12,-1.06E-13,0,3.172737e-315,,,,,2.600684,4.70E-02
65,6.4,2.599595,4.69E-02,6.71E-13,-1.73E-13,0,3.172737e-315,,,,,2.599595,4.69E-02
66,6.5,2.598507,4.69E-02,2.04E-12,-1.21E-13,0,3.172737e-315,,,,,2.598507,4.69E-02
67,6.6,2.597418,4.69E-02,3.79E-12,-8.32E-14,0,3.172737e-315,,,,,2.597418,4.69E-02
68,6.7,2.59633,4.68E-02,4.49E-12,-9.04E-14,0,3.172737e-315,,,,,2.59633,4.68E-02
69,6.8,2.595242,4.68E-02,3.62E-12,-8.88E-14,0,3.172737e-315,,,,,2.595242,4.68E-02
70,6.9,2.594153,4.67E-02,4.32E-12,-5.19E-15,0,3.172737e-315,,,,,2.594153,4.67E-02
71,7,2.593065,4.67E-02,8.16E-12,-1.20E-14,0,3.172737e-315,,,,,2.593065,4.67E-02
72,7.1,2.591977,4.65E-02,5.09E-12,-1.55E-13,0,3.172737e-315,,,,,2.591977,4.65E-02
73,7.2,2.567794,4.57E-02,-1.61E-13,-2.99E-13,0,3.172737e-315,,,,,2.567794,4.57E-02
74,7.3,2.543607,4.49E-02,-3.92E-12,-4.15E-13,0,3.172737e-315,,,,,2.543607,4.49E-02
75,7.4,2.519424,4.41E-02,-7.30E-12,-6.55E-13,0,3.172737e-315,,,,,2.519424,4.41E-02
76,7.5,2.495246,4.33E-02,-1.73E-11,-7.92E-13,0,3.172737e-315,,,,,2.495246,4.33E-02
77,7.6,2.471073,4.25E-02,-1.74E-11,-8.15E-13,0,3.172737e-315,,,,,2.471073,4.25E-02
78,7.7,2.446904,4.17E-02,-1.85E-11,-7.23E-13,0,3.172737e-315,,,,,2.446904,4.17E-02
79,7.8,2.42274,4.09E-02,-1.29E-11,-6.99E-13,0,3.172737e-315,,,,,2.42274,4.09E-02
80,7.9,2.39858,4.01E-02,-1.57E-11,-6.91E-13,0,3.172737e-315,,,,,2.39858,4.01E-02
81,8,2.374424,3.93E-02,-1.33E-11,-6.20E-13,0,3.172737e-315,,,,,2.374424,3.93E-02
82,8.1,2.316137,3.83E-02,-1.17E-11,-6.55E-13,0,3.172737e-315,,,,,2.316137,3.83E-02
83,8.2,2.199644,3.67E-02,-1.30E-11,-8.12E-13,0,3.172737e-315,,,,,2.199644,3.67E-02
